ticker,company,sector,cik_str,title
PLD,Prologis,Industrial,0001045609,"Prologis, Inc."
AMT,American Tower,Infrastructure,0001053507,AMERICAN TOWER CORP /MA/
EQIX,Equinix,Data Center,0001101239,EQUINIX INC
WELL,Welltower,Healthcare,0000766704,WELLTOWER INC.
SPG,Simon Property Group,Retail,0001063761,SIMON PROPERTY GROUP INC.
O,Realty Income,Net Lease,0000726728,REALTY INCOME CORP
AVB,AvalonBay Communities,Residential,0000915912,AVALONBAY COMMUNITIES INC
EQR,Equity Residential,Residential,0000906107,EQUITY RESIDENTIAL
DLR,Digital Realty,Data Center,0001297996,"DIGITAL REALTY TRUST, INC."
PSA,Public Storage,Self Storage,0001393311,Public Storage
VTR,Ventas,Healthcare,0000740260,"Ventas, Inc."
BXP,BXP,Office,0001037540,"BXP, Inc."
KIM,Kimco Realty,Retail,0000879101,KIMCO REALTY CORP
REG,Regency Centers,Retail,0000910606,REGENCY CENTERS CORP
UDR,UDR,Residential,0000074208,"UDR, Inc."
ESS,Essex Property Trust,Residential,0000920522,"ESSEX PROPERTY TRUST, INC."
ARE,Alexandria Real Estate Equities,Life Science Office,0001035443,"ALEXANDRIA REAL ESTATE EQUITIES, INC."
EXR,Extra Space Storage,Self Storage,0001289490,Extra Space Storage Inc.
MAA,Mid-America Apartment Communities,Residential,0000912595,MID AMERICA APARTMENT COMMUNITIES INC.
CPT,Camden Property Trust,Residential,0000906345,CAMDEN PROPERTY TRUST
CCI,Crown Castle,Infrastructure,0001051470,CROWN CASTLE INC.
VICI,VICI Properties,Gaming Net Lease,0001705696,VICI PROPERTIES INC.
INVH,Invitation Homes,Single-Family Rental,0001687229,Invitation Homes Inc.
CUBE,CubeSmart,Self Storage,0001298675,CubeSmart
EPR,EPR Properties,Experiential,0001045450,EPR PROPERTIES
