ticker,decision_date,h_entailment,h_relevance,h_actionability,note
AMT,2024-01-31,1,2,2,混合信号较多，但高杠杆与低覆盖率能部分支撑减仓。
AMT,2025-05-31,1,2,2,核心还是财务压力与估值偏贵，减仓逻辑主要靠基本面而非趋势。
AMT,2024-12-31,2,2,2,价格、杠杆与利率压力同向，减仓逻辑比较完整。
ARE,2025-05-31,1,2,2,经营面偏强，减仓更多依赖极弱价格表现与利率压制。
ARE,2024-04-30,1,1,2,经营与资产负债表偏正面，减仓主要靠宏观和价格偏弱，支持度一般。
ARE,2024-08-31,1,2,2,诉讼是明确负面，但经营数据强，整体仍属部分支持。
BXP,2024-02-29,1,2,2,办公需求与宏观利率压力明确，但强基本面削弱减仓结论。
BXP,2024-06-30,1,2,2,优质资产与低杠杆对冲了宏观/价格负面，属于混合型减仓理由。
BXP,2025-03-31,1,2,2,价格和办公宏观偏空，但基本面仍强，减仓逻辑不够单边。
CCI,2025-11-30,2,2,2,光纤出售亏损、杠杆压力和价格弱势同时出现，支持减仓很充分。
CCI,2025-08-31,1,2,2,减值和杠杆有力，但披露与宏观仍有缓冲，属于偏减仓而非强减仓。
CCI,2024-05-31,2,2,2,高杠杆、极低 FFO 收益率和负价格趋势较一致，减仓理由扎实。
CPT,2025-05-31,1,2,2,诉讼和中期价格走弱支持减仓，但基本面和宏观并未明显恶化。
CPT,2025-03-31,1,2,2,事件风险很直接，但强基本面和较强长周期走势削弱了减仓确定性。
CPT,2025-09-30,1,2,2,逻辑几乎全靠价格面偏空，经营与财务并不支持强减仓。
CUBE,2024-12-31,1,1,2,主要是动量信号在驱动减仓，其余证据多为中性。
CUBE,2025-07-31,1,1,2,价格弱势支持减仓，但披露偏正面、基本面也不差。
CUBE,2025-02-28,1,2,2,价格走弱较明确，估值偏贵也能补充支持，但不是全维度一致。
DLR,2025-03-31,1,2,2,价格和覆盖率/FFO 收益率偏弱，但披露与行业需求偏强，分歧大。
EPR,2024-07-31,2,2,2,租户集中、周期性和偿债压力对下行都很直接，尽管价格短期偏强。
EPR,2025-07-31,1,2,2,基本面偏弱能支持减仓，但价格强势明显冲突。
EPR,2024-04-30,2,2,2,宏观和价格共同转弱，足以支撑减仓，即便披露面不算差。
EQIX,2024-05-31,1,2,2,调查/传票是高相关负面，但强基本面与部分价格反弹形成对冲。
EQIX,2024-06-30,2,2,2,法律调查与全周期负收益叠加，减仓逻辑较完整。
EQIX,2024-08-31,1,2,2,法律风险主导减仓，但价格和宏观并未同步转坏。
ESS,2025-07-31,1,1,2,更多是价格面减仓，披露和基本面都不支持强负面结论。
EXR,2025-09-30,1,1,2,负面集中在价格，其他维度多为中性或偏正面。
EXR,2025-07-31,1,1,2,趋势弱能支撑减仓，但公司层面基本面较强。
EXR,2025-11-30,1,1,2,依赖价格弱势而非经营或资产负债表恶化，支持度有限。
INVH,2025-11-30,1,1,1,管理层变动与发债本身偏弱，真正支撑减仓的主要还是价格。
INVH,2024-12-31,1,2,2,连续负收益和回撤较直接，但披露与宏观并不悲观。
KIM,2024-04-30,1,1,2,宏观偏空但公司经营和财务较强，减仓逻辑偏外生。
O,2025-01-31,1,2,2,利率敏感和中期动量偏弱能支持减仓，但强基本面限制力度。
O,2024-07-31,1,1,1,更多是宏观利率因子，缺少公司层面恶化的直接证据。
O,2024-04-30,1,2,2,并购整合风险很明确，但强财务和混合价格面削弱结论。
PLD,2024-06-30,1,2,2,价格与宏观偏空，但经营和资产负债表很强，属于部分支持。
PSA,2024-02-29,1,2,2,经营放缓和新租跌幅是直接风险，但财务质量与价格恢复抵消一部分。
SPG,2024-09-30,1,2,1,杠杆风险直接，但 CEO 健康事件的可交易性一般，且价格极强。
SPG,2024-12-31,1,2,1,高杠杆是硬伤，但缺少覆盖率/FFO 等补充指标，行动性略弱。
SPG,2024-01-31,2,2,2,极高杠杆叠加零售宏观压力，足以支撑减仓。
VICI,2024-06-30,1,2,2,利率与中期价格走弱支持谨慎，但公司经营和杠杆并不差。
VICI,2025-10-31,1,2,2,价格面偏空清楚，但披露和基本面都偏稳。
VTR,2025-01-31,1,2,2,偿债覆盖过低很关键，但披露改善与长周期价格偏强形成冲突。
VTR,2024-03-31,2,2,2,偿债压力、减值与较大回撤相互印证，减仓逻辑较强。
VTR,2024-05-31,1,2,2,财务风险很强，但价格面明显反向，属于偏减仓而非高把握度减仓。
