ticker,company,sector
PLD,Prologis,Industrial
AMT,American Tower,Infrastructure
EQIX,Equinix,Data Center
WELL,Welltower,Healthcare
SPG,Simon Property Group,Retail
O,Realty Income,Net Lease
AVB,AvalonBay Communities,Residential
EQR,Equity Residential,Residential
DLR,Digital Realty,Data Center
PSA,Public Storage,Self Storage
VTR,Ventas,Healthcare
BXP,BXP,Office
KIM,Kimco Realty,Retail
REG,Regency Centers,Retail
UDR,UDR,Residential
ESS,Essex Property Trust,Residential
ARE,Alexandria Real Estate Equities,Life Science Office
EXR,Extra Space Storage,Self Storage
MAA,Mid-America Apartment Communities,Residential
CPT,Camden Property Trust,Residential
CCI,Crown Castle,Infrastructure
VICI,VICI Properties,Gaming Net Lease
INVH,Invitation Homes,Single-Family Rental
CUBE,CubeSmart,Self Storage
EPR,EPR Properties,Experiential
